p1_fighter,p2_fighter,p1_KD,p2_KD,p1_SIG_STR,p2_SIG_STR,p1_SIG_STR_PCT,p2_SIG_STR_PCT,p1_TOTAL_STR,p2_TOTAL_STR,p1_TD,p2_TD,p1_TD_PCT,p2_TD_PCT,p1_SUB_ATT,p2_SUB_ATT,p1_REV,p2_REV,p1_CTRL,p2_CTRL,p1_R1_KD,p2_R1_KD,p1_R1_SIG_STR,p2_R1_SIG_STR,p1_R1_SIG_STR_PCT,p2_R1_SIG_STR_PCT,p1_R1_TOTAL_STR,p2_R1_TOTAL_STR,p1_R1_TD,p2_R1_TD,p1_R1_TD_PCT,p2_R1_TD_PCT,p1_R1_SUB_ATT,p2_R1_SUB_ATT,p1_R1_REV,p2_R1_REV,p1_R1_CTRL,p2_R1_CTRL,p1_SIG_STR_LANDED_ATTEMPTED,p2_SIG_STR_LANDED_ATTEMPTED,p1_SIG_STR_PCT_DETAILED,p2_SIG_STR_PCT_DETAILED,p1_HEAD_LANDED_ATTEMPTED,p2_HEAD_LANDED_ATTEMPTED,p1_BODY_LANDED_ATTEMPTED,p2_BODY_LANDED_ATTEMPTED,p1_LEG_LANDED_ATTEMPTED,p2_LEG_LANDED_ATTEMPTED,p1_DISTANCE_LANDED_ATTEMPTED,p2_DISTANCE_LANDED_ATTEMPTED,p1_CLINCH_LANDED_ATTEMPTED,p2_CLINCH_LANDED_ATTEMPTED,p1_GROUND_LANDED_ATTEMPTED,p2_GROUND_LANDED_ATTEMPTED,p1_R1_SIG_STR_LANDED_ATTEMPTED,p2_R1_SIG_STR_LANDED_ATTEMPTED,p1_R1_SIG_STR_PCT_DETAILED,p2_R1_SIG_STR_PCT_DETAILED,p1_R1_HEAD_LANDED_ATTEMPTED,p2_R1_HEAD_LANDED_ATTEMPTED,p1_R1_BODY_LANDED_ATTEMPTED,p2_R1_BODY_LANDED_ATTEMPTED,p1_R1_LEG_LANDED_ATTEMPTED,p2_R1_LEG_LANDED_ATTEMPTED,p1_R1_DISTANCE_LANDED_ATTEMPTED,p2_R1_DISTANCE_LANDED_ATTEMPTED,p1_R1_CLINCH_LANDED_ATTEMPTED,p2_R1_CLINCH_LANDED_ATTEMPTED,p1_R1_GROUND_LANDED_ATTEMPTED,p2_R1_GROUND_LANDED_ATTEMPTED,method,referee,winner,event_date
Ilia Topuria,Max Holloway,1,0,75 of 144,79 of 204,52%,38%,78 of 147,84 of 209,2 of 2,0 of 0,100%,---,0,0,0,0,0:45,0:00,0,0,22 of 47,30 of 75,46%,40%,24 of 49,35 of 80,2 of 2,0 of 0,100%,---,0,0,0,0,0:41,0:00,75 of 144,79 of 204,52%,38%,49 of 114,47 of 151,11 of 14,13 of 30,15 of 16,19 of 23,71 of 140,79 of 204,0 of 0,0 of 0,4 of 4,0 of 0,22 of 47,30 of 75,46%,40%,13 of 38,17 of 56,3 of 3,7 of 12,6 of 6,6 of 7,22 of 47,30 of 75,0 of 0,0 of 0,0 of 0,0 of 0,KO/TKO,Marc Goddard,1,"October 26, 2024"
Robert Whittaker,Khamzat Chimaev,0,0,2 of 2,3 of 4,100%,75%,2 of 2,25 of 31,0 of 0,2 of 4,---,50%,0,1,0,0,0:00,3:20,0,0,2 of 2,3 of 4,100%,75%,2 of 2,25 of 31,0 of 0,2 of 4,---,50%,0,1,0,0,0:00,3:20,2 of 2,3 of 4,100%,75%,0 of 0,2 of 3,0 of 0,1 of 1,2 of 2,0 of 0,2 of 2,0 of 1,0 of 0,0 of 0,0 of 0,3 of 3,2 of 2,3 of 4,100%,75%,0 of 0,2 of 3,0 of 0,1 of 1,2 of 2,0 of 0,2 of 2,0 of 1,0 of 0,0 of 0,0 of 0,3 of 3,Submission,Jason Herzog,0,"October 26, 2024"
Magomed Ankalaev,Aleksandar Rakic,0,0,55 of 114,53 of 117,48%,45%,75 of 142,59 of 123,0 of 0,0 of 1,---,0%,0,0,0,0,1:31,1:00,0,0,19 of 34,22 of 45,55%,48%,19 of 34,22 of 45,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:00,55 of 114,53 of 117,48%,45%,20 of 72,10 of 65,22 of 29,9 of 12,13 of 13,34 of 40,50 of 105,50 of 111,5 of 9,3 of 6,0 of 0,0 of 0,19 of 34,22 of 45,55%,48%,7 of 19,4 of 24,8 of 11,3 of 4,4 of 4,15 of 17,19 of 34,22 of 45,0 of 0,0 of 0,0 of 0,0 of 0,Decision - Unanimous,Vitor Ribeiro,1,"October 26, 2024"
Lerone Murphy,Dan Ige,0,1,52 of 100,46 of 106,52%,43%,78 of 133,52 of 116,3 of 5,1 of 3,60%,33%,0,0,0,2,2:17,4:47,0,1,17 of 32,32 of 60,53%,53%,18 of 33,32 of 61,1 of 1,1 of 1,100%,100%,0,0,0,1,0:22,1:30,52 of 100,46 of 106,52%,43%,36 of 77,35 of 92,12 of 17,5 of 8,4 of 6,6 of 6,37 of 80,32 of 79,12 of 16,6 of 16,3 of 4,8 of 11,17 of 32,32 of 60,53%,53%,11 of 23,27 of 53,4 of 5,2 of 4,2 of 4,3 of 3,14 of 28,19 of 39,3 of 4,5 of 11,0 of 0,8 of 10,Decision - Unanimous,Mark Smith,1,"October 26, 2024"
Shara Magomedov,Armen Petrosyan,1,0,65 of 106,77 of 140,61%,55%,67 of 108,77 of 141,0 of 0,0 of 0,---,---,0,0,0,0,0:02,0:21,0,0,33 of 49,46 of 81,67%,56%,35 of 51,46 of 81,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:08,65 of 106,77 of 140,61%,55%,24 of 53,22 of 66,29 of 34,10 of 14,12 of 19,45 of 60,63 of 104,75 of 138,2 of 2,2 of 2,0 of 0,0 of 0,33 of 49,46 of 81,67%,56%,12 of 24,14 of 35,13 of 14,5 of 7,8 of 11,27 of 39,31 of 47,44 of 79,2 of 2,2 of 2,0 of 0,0 of 0,KO/TKO,Kerry Hatley,1,"October 26, 2024"
Ibo Aslan,Rafael Cerqueira,0,0,28 of 36,1 of 1,77%,100%,28 of 36,1 of 1,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:00,0,0,28 of 36,1 of 1,77%,100%,28 of 36,1 of 1,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:00,28 of 36,1 of 1,77%,100%,26 of 33,0 of 0,2 of 2,0 of 0,0 of 1,1 of 1,28 of 36,1 of 1,0 of 0,0 of 0,0 of 0,0 of 0,28 of 36,1 of 1,77%,100%,26 of 33,0 of 0,2 of 2,0 of 0,0 of 1,1 of 1,28 of 36,1 of 1,0 of 0,0 of 0,0 of 0,0 of 0,KO/TKO,Marc Goddard,1,"October 26, 2024"
Geoff Neal,Rafael Dos Anjos,1,0,18 of 30,4 of 13,60%,30%,21 of 34,4 of 13,1 of 1,0 of 0,100%,---,0,0,0,0,0:27,0:00,1,0,18 of 30,4 of 13,60%,30%,21 of 34,4 of 13,1 of 1,0 of 0,100%,---,0,0,0,0,0:27,0:00,18 of 30,4 of 13,60%,30%,12 of 24,2 of 10,3 of 3,1 of 1,3 of 3,1 of 2,13 of 24,4 of 13,0 of 0,0 of 0,5 of 6,0 of 0,18 of 30,4 of 13,60%,30%,12 of 24,2 of 10,3 of 3,1 of 1,3 of 3,1 of 2,13 of 24,4 of 13,0 of 0,0 of 0,5 of 6,0 of 0,KO/TKO,Mark Smith,1,"October 26, 2024"
Mateusz Rebecki,Myktybek Orolbai,1,0,71 of 146,61 of 135,48%,45%,93 of 174,85 of 162,3 of 4,2 of 5,75%,40%,0,0,0,1,2:24,2:05,0,0,27 of 57,22 of 51,47%,43%,27 of 57,22 of 51,0 of 1,0 of 0,0%,---,0,0,0,0,0:00,0:00,71 of 146,61 of 135,48%,45%,52 of 123,46 of 114,10 of 11,6 of 11,9 of 12,9 of 10,54 of 126,60 of 133,5 of 6,0 of 1,12 of 14,1 of 1,27 of 57,22 of 51,47%,43%,15 of 43,13 of 39,7 of 7,2 of 4,5 of 7,7 of 8,26 of 56,22 of 51,1 of 1,0 of 0,0 of 0,0 of 0,Decision - Split,Vitor Ribeiro,1,"October 26, 2024"
Abus Magomedov,Brunno Ferreira,0,0,26 of 59,29 of 71,44%,40%,45 of 81,36 of 83,4 of 8,0 of 0,50%,---,1,1,0,1,3:36,0:13,0,0,14 of 29,2 of 12,48%,16%,14 of 29,2 of 12,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:00,26 of 59,29 of 71,44%,40%,10 of 40,20 of 59,8 of 11,9 of 12,8 of 8,0 of 0,26 of 57,26 of 65,0 of 0,1 of 2,0 of 2,2 of 4,14 of 29,2 of 12,48%,16%,4 of 17,0 of 8,5 of 7,2 of 4,5 of 5,0 of 0,14 of 29,2 of 12,0 of 0,0 of 0,0 of 0,0 of 0,Submission,Marc Goddard,1,"October 26, 2024"
Kennedy Nzechukwu,Chris Barnett,0,0,51 of 74,12 of 34,68%,35%,51 of 74,12 of 34,0 of 0,0 of 1,---,0%,0,0,0,0,0:00,0:00,0,0,51 of 74,12 of 34,68%,35%,51 of 74,12 of 34,0 of 0,0 of 1,---,0%,0,0,0,0,0:00,0:00,51 of 74,12 of 34,68%,35%,28 of 50,3 of 22,22 of 23,2 of 3,1 of 1,7 of 9,50 of 73,12 of 34,0 of 0,0 of 0,1 of 1,0 of 0,51 of 74,12 of 34,68%,35%,28 of 50,3 of 22,22 of 23,2 of 3,1 of 1,7 of 9,50 of 73,12 of 34,0 of 0,0 of 0,1 of 1,0 of 0,KO/TKO,Jason Herzog,1,"October 26, 2024"
