p1_fighter,p2_fighter,p1_KD,p2_KD,p1_SIG_STR,p2_SIG_STR,p1_SIG_STR_PCT,p2_SIG_STR_PCT,p1_TOTAL_STR,p2_TOTAL_STR,p1_TD,p2_TD,p1_TD_PCT,p2_TD_PCT,p1_SUB_ATT,p2_SUB_ATT,p1_REV,p2_REV,p1_CTRL,p2_CTRL,p1_R1_KD,p2_R1_KD,p1_R1_SIG_STR,p2_R1_SIG_STR,p1_R1_SIG_STR_PCT,p2_R1_SIG_STR_PCT,p1_R1_TOTAL_STR,p2_R1_TOTAL_STR,p1_R1_TD,p2_R1_TD,p1_R1_TD_PCT,p2_R1_TD_PCT,p1_R1_SUB_ATT,p2_R1_SUB_ATT,p1_R1_REV,p2_R1_REV,p1_R1_CTRL,p2_R1_CTRL,p1_SIG_STR_LANDED_ATTEMPTED,p2_SIG_STR_LANDED_ATTEMPTED,p1_SIG_STR_PCT_DETAILED,p2_SIG_STR_PCT_DETAILED,p1_HEAD_LANDED_ATTEMPTED,p2_HEAD_LANDED_ATTEMPTED,p1_BODY_LANDED_ATTEMPTED,p2_BODY_LANDED_ATTEMPTED,p1_LEG_LANDED_ATTEMPTED,p2_LEG_LANDED_ATTEMPTED,p1_DISTANCE_LANDED_ATTEMPTED,p2_DISTANCE_LANDED_ATTEMPTED,p1_CLINCH_LANDED_ATTEMPTED,p2_CLINCH_LANDED_ATTEMPTED,p1_GROUND_LANDED_ATTEMPTED,p2_GROUND_LANDED_ATTEMPTED,p1_R1_SIG_STR_LANDED_ATTEMPTED,p2_R1_SIG_STR_LANDED_ATTEMPTED,p1_R1_SIG_STR_PCT_DETAILED,p2_R1_SIG_STR_PCT_DETAILED,p1_R1_HEAD_LANDED_ATTEMPTED,p2_R1_HEAD_LANDED_ATTEMPTED,p1_R1_BODY_LANDED_ATTEMPTED,p2_R1_BODY_LANDED_ATTEMPTED,p1_R1_LEG_LANDED_ATTEMPTED,p2_R1_LEG_LANDED_ATTEMPTED,p1_R1_DISTANCE_LANDED_ATTEMPTED,p2_R1_DISTANCE_LANDED_ATTEMPTED,p1_R1_CLINCH_LANDED_ATTEMPTED,p2_R1_CLINCH_LANDED_ATTEMPTED,p1_R1_GROUND_LANDED_ATTEMPTED,p2_R1_GROUND_LANDED_ATTEMPTED,method,referee,winner,event_date
Cory Sandhagen,Deiveson Figueiredo,0,0,54 of 87,6 of 9,62%,66%,92 of 149,8 of 11,2 of 2,2 of 5,100%,40%,0,0,1,1,5:07,0:31,0,0,31 of 39,2 of 2,79%,100%,53 of 78,3 of 3,1 of 1,1 of 4,100%,25%,0,0,0,0,3:37,0:04,54 of 87,6 of 9,62%,66%,33 of 65,4 of 6,2 of 2,0 of 0,19 of 20,2 of 3,24 of 43,4 of 7,0 of 0,2 of 2,30 of 44,0 of 0,31 of 39,2 of 2,79%,100%,22 of 30,1 of 1,1 of 1,0 of 0,8 of 8,1 of 1,10 of 13,1 of 1,0 of 0,1 of 1,21 of 26,0 of 0,KO/TKO,Dan Miragliotta,1,"May 03, 2025"
Reinier de Ridder,Bo Nickal,1,0,22 of 32,8 of 21,68%,38%,91 of 104,24 of 40,0 of 3,1 of 1,0%,100%,0,0,0,0,2:09,2:24,0,0,5 of 10,2 of 6,50%,33%,43 of 49,17 of 24,0 of 2,1 of 1,0%,100%,0,0,0,0,1:52,2:00,22 of 32,8 of 21,68%,38%,9 of 18,2 of 13,13 of 14,4 of 5,0 of 0,2 of 3,7 of 15,3 of 14,15 of 17,5 of 7,0 of 0,0 of 0,5 of 10,2 of 6,50%,33%,2 of 7,1 of 5,3 of 3,1 of 1,0 of 0,0 of 0,1 of 5,0 of 4,4 of 5,2 of 2,0 of 0,0 of 0,KO/TKO,Mike Beltran,1,"May 03, 2025"
Santiago Ponzinibbio,Daniel Rodriguez,0,1,49 of 111,66 of 166,44%,39%,50 of 115,70 of 170,1 of 8,0 of 0,12%,---,0,0,0,0,0:44,0:07,0,0,15 of 35,35 of 81,42%,43%,15 of 35,35 of 81,0 of 2,0 of 0,0%,---,0,0,0,0,0:02,0:07,49 of 111,66 of 166,44%,39%,31 of 83,39 of 131,6 of 16,20 of 25,12 of 12,7 of 10,49 of 111,64 of 164,0 of 0,1 of 1,0 of 0,1 of 1,15 of 35,35 of 81,42%,43%,5 of 19,20 of 61,3 of 9,13 of 16,7 of 7,2 of 4,15 of 35,34 of 80,0 of 0,1 of 1,0 of 0,0 of 0,KO/TKO,Kevin MacDonald,0,"May 03, 2025"
Montel Jackson,Daniel Marcos,0,0,30 of 66,17 of 32,45%,53%,67 of 106,24 of 43,2 of 8,3 of 7,25%,42%,1,0,0,0,3:37,5:45,0,0,4 of 12,4 of 7,33%,57%,22 of 31,7 of 11,1 of 4,1 of 1,25%,100%,0,0,0,0,2:07,1:26,30 of 66,17 of 32,45%,53%,25 of 58,5 of 18,1 of 3,5 of 7,4 of 5,7 of 7,27 of 62,13 of 27,3 of 4,3 of 4,0 of 0,1 of 1,4 of 12,4 of 7,33%,57%,2 of 8,2 of 4,1 of 2,1 of 2,1 of 2,1 of 1,3 of 11,3 of 6,1 of 1,1 of 1,0 of 0,0 of 0,Decision - Unanimous,Gary Copeland,1,"May 03, 2025"
Cameron Smotherman,Serhiy Sidey,0,0,58 of 134,55 of 132,43%,41%,61 of 137,66 of 149,0 of 0,5 of 12,---,41%,0,1,0,0,0:00,4:12,0,0,22 of 43,27 of 50,51%,54%,25 of 46,28 of 51,0 of 0,0 of 1,---,0%,0,0,0,0,0:00,0:55,58 of 134,55 of 132,43%,41%,43 of 114,30 of 98,15 of 20,15 of 22,0 of 0,10 of 12,53 of 124,49 of 122,5 of 10,6 of 10,0 of 0,0 of 0,22 of 43,27 of 50,51%,54%,16 of 34,12 of 33,6 of 9,7 of 8,0 of 0,8 of 9,22 of 40,23 of 45,0 of 3,4 of 5,0 of 0,0 of 0,Decision - Unanimous,Dan Miragliotta,0,"May 03, 2025"
Jeremy Stephens,Mason Jones,0,0,42 of 108,81 of 231,38%,35%,54 of 126,104 of 261,0 of 0,8 of 12,---,66%,0,0,0,0,0:11,6:03,0,0,21 of 47,39 of 103,44%,37%,24 of 53,41 of 108,0 of 0,2 of 2,---,100%,0,0,0,0,0:00,0:43,42 of 108,81 of 231,38%,35%,19 of 79,50 of 188,7 of 11,19 of 28,16 of 18,12 of 15,41 of 105,74 of 220,1 of 3,5 of 7,0 of 0,2 of 4,21 of 47,39 of 103,44%,37%,6 of 28,22 of 80,3 of 6,9 of 13,12 of 13,8 of 10,20 of 45,36 of 100,1 of 2,3 of 3,0 of 0,0 of 0,Decision - Unanimous,Mike Beltran,0,"May 03, 2025"
Yana Santos,Miesha Tate,0,0,66 of 117,40 of 115,56%,34%,87 of 143,108 of 204,0 of 1,1 of 7,0%,14%,0,0,0,0,0:46,5:05,0,0,31 of 61,22 of 55,50%,40%,43 of 76,33 of 72,0 of 1,0 of 2,0%,0%,0,0,0,0,0:25,0:47,66 of 117,40 of 115,56%,34%,37 of 87,25 of 88,15 of 16,8 of 17,14 of 14,7 of 10,47 of 96,29 of 100,19 of 21,8 of 10,0 of 0,3 of 5,31 of 61,22 of 55,50%,40%,14 of 44,14 of 43,9 of 9,4 of 7,8 of 8,4 of 5,19 of 47,20 of 52,12 of 14,2 of 3,0 of 0,0 of 0,Decision - Unanimous,Kevin MacDonald,1,"May 03, 2025"
Ryan Loder,Azamat Bekoev,0,2,13 of 25,23 of 46,52%,50%,15 of 27,39 of 66,0 of 4,0 of 1,0%,0%,0,0,0,0,0:13,1:04,0,2,13 of 25,23 of 46,52%,50%,15 of 27,39 of 66,0 of 4,0 of 1,0%,0%,0,0,0,0,0:13,1:04,13 of 25,23 of 46,52%,50%,6 of 15,21 of 42,7 of 10,2 of 4,0 of 0,0 of 0,6 of 17,17 of 31,7 of 8,5 of 11,0 of 0,1 of 4,13 of 25,23 of 46,52%,50%,6 of 15,21 of 42,7 of 10,2 of 4,0 of 0,0 of 0,6 of 17,17 of 31,7 of 8,5 of 11,0 of 0,1 of 4,KO/TKO,Gary Copeland,0,"May 03, 2025"
Marina Rodriguez,Gillian Robertson,0,0,4 of 17,16 of 41,23%,39%,7 of 20,73 of 120,0 of 0,2 of 3,---,66%,1,0,0,0,0:00,5:21,0,0,2 of 13,11 of 25,15%,44%,5 of 16,42 of 63,0 of 0,1 of 2,---,50%,0,0,0,0,0:00,3:34,4 of 17,16 of 41,23%,39%,3 of 14,12 of 32,1 of 3,2 of 6,0 of 0,2 of 3,4 of 17,6 of 20,0 of 0,0 of 0,0 of 0,10 of 21,2 of 13,11 of 25,15%,44%,2 of 11,7 of 17,0 of 2,2 of 5,0 of 0,2 of 3,2 of 13,6 of 17,0 of 0,0 of 0,0 of 0,5 of 8,KO/TKO,Bruce Allen,0,"May 03, 2025"
Gaston Bolanos,Quang Le,0,0,5 of 20,10 of 14,25%,71%,8 of 23,33 of 38,0 of 0,4 of 7,---,57%,0,1,0,0,0:00,5:46,0,0,0 of 4,2 of 3,0%,66%,3 of 7,20 of 21,0 of 0,3 of 5,---,60%,0,0,0,0,0:00,4:24,5 of 20,10 of 14,25%,71%,1 of 11,9 of 13,1 of 2,1 of 1,3 of 7,0 of 0,5 of 20,10 of 14,0 of 0,0 of 0,0 of 0,0 of 0,0 of 4,2 of 3,0%,66%,0 of 2,2 of 3,0 of 0,0 of 0,0 of 2,0 of 0,0 of 4,2 of 3,0 of 0,0 of 0,0 of 0,0 of 0,Submission,Tyrone Roberts,0,"May 03, 2025"
Thomas Petersen,Don'Tale Mayes,0,0,28 of 51,3 of 11,54%,27%,105 of 166,13 of 23,9 of 9,0 of 0,100%,---,1,0,0,0,13:49,0:00,0,0,1 of 3,1 of 5,33%,20%,12 of 19,9 of 15,3 of 3,0 of 0,100%,---,1,0,0,0,4:34,0:00,28 of 51,3 of 11,54%,27%,28 of 51,1 of 8,0 of 0,2 of 3,0 of 0,0 of 0,1 of 5,3 of 11,1 of 1,0 of 0,26 of 45,0 of 0,1 of 3,1 of 5,33%,20%,1 of 3,1 of 5,0 of 0,0 of 0,0 of 0,0 of 0,0 of 2,1 of 5,0 of 0,0 of 0,1 of 1,0 of 0,Decision - Unanimous,Bruce Allen,1,"May 03, 2025"
Juliana Miller,Ivana Petrovic,0,0,22 of 55,25 of 53,40%,47%,54 of 101,57 of 87,3 of 9,1 of 5,33%,20%,0,0,0,0,8:10,2:47,0,0,4 of 12,7 of 12,33%,58%,11 of 20,32 of 39,0 of 2,1 of 3,0%,33%,0,0,0,0,2:04,1:48,22 of 55,25 of 53,40%,47%,11 of 41,8 of 33,8 of 11,9 of 12,3 of 3,8 of 8,16 of 46,25 of 53,1 of 3,0 of 0,5 of 6,0 of 0,4 of 12,7 of 12,33%,58%,4 of 12,0 of 3,0 of 0,2 of 4,0 of 0,5 of 5,3 of 9,7 of 12,1 of 3,0 of 0,0 of 0,0 of 0,Decision - Unanimous,Tyrone Roberts,1,"May 03, 2025"
Ian Machado Garry,Carlos Prates,0,0,126 of 242,63 of 129,52%,48%,141 of 259,64 of 132,4 of 19,0 of 0,21%,---,0,0,0,0,3:09,1:46,0,0,15 of 39,7 of 16,38%,43%,15 of 39,7 of 16,0 of 1,0 of 0,0%,---,0,0,0,0,0:12,0:02,126 of 242,63 of 129,52%,48%,86 of 185,38 of 97,17 of 28,16 of 21,23 of 29,9 of 11,120 of 231,50 of 114,2 of 6,1 of 2,4 of 5,12 of 13,15 of 39,7 of 16,38%,43%,8 of 25,2 of 8,3 of 7,2 of 3,4 of 7,3 of 5,11 of 34,7 of 16,0 of 0,0 of 0,4 of 5,0 of 0,Decision - Unanimous,Dan Miragliotta,1,"April 26, 2025"
Anthony Smith,Zhang Mingyang,0,0,10 of 21,63 of 81,47%,77%,11 of 22,76 of 97,0 of 1,0 of 0,0%,---,0,0,0,0,0:16,1:28,0,0,10 of 21,63 of 81,47%,77%,11 of 22,76 of 97,0 of 1,0 of 0,0%,---,0,0,0,0,0:16,1:28,10 of 21,63 of 81,47%,77%,8 of 18,42 of 58,2 of 3,6 of 8,0 of 0,15 of 15,10 of 21,35 of 46,0 of 0,3 of 4,0 of 0,25 of 31,10 of 21,63 of 81,47%,77%,8 of 18,42 of 58,2 of 3,6 of 8,0 of 0,15 of 15,10 of 21,35 of 46,0 of 0,3 of 4,0 of 0,25 of 31,KO/TKO,Jason Herzog,0,"April 26, 2025"
Giga Chikadze,David Onama,0,0,43 of 91,49 of 87,47%,56%,71 of 127,72 of 127,0 of 0,3 of 3,---,100%,0,0,0,0,0:00,6:15,0,0,21 of 43,13 of 26,48%,50%,26 of 48,13 of 30,0 of 0,1 of 1,---,100%,0,0,0,0,0:00,0:44,43 of 91,49 of 87,47%,56%,23 of 66,29 of 55,8 of 11,1 of 6,12 of 14,19 of 26,40 of 88,38 of 75,2 of 2,1 of 1,1 of 1,10 of 11,21 of 43,13 of 26,48%,50%,9 of 26,9 of 17,4 of 7,0 of 2,8 of 10,4 of 7,21 of 43,13 of 26,0 of 0,0 of 0,0 of 0,0 of 0,Decision - Unanimous,Keith Peterson,0,"April 26, 2025"
Michel Pereira,Abus Magomedov,0,0,73 of 168,78 of 134,43%,58%,74 of 169,83 of 140,0 of 0,1 of 4,---,25%,0,0,0,0,0:24,1:01,0,0,7 of 20,18 of 31,35%,58%,7 of 20,23 of 37,0 of 0,1 of 1,---,100%,0,0,0,0,0:00,0:52,73 of 168,78 of 134,43%,58%,27 of 90,53 of 99,27 of 50,19 of 29,19 of 28,6 of 6,72 of 166,72 of 128,1 of 2,3 of 3,0 of 0,3 of 3,7 of 20,18 of 31,35%,58%,0 of 4,10 of 23,4 of 9,5 of 5,3 of 7,3 of 3,7 of 20,13 of 26,0 of 0,2 of 2,0 of 0,3 of 3,Decision - Unanimous,Nick Berens,0,"April 26, 2025"
Randy Brown,Nicolas Dalby,1,1,54 of 114,26 of 74,47%,35%,58 of 118,40 of 90,0 of 0,0 of 0,---,---,0,0,0,0,0:00,1:22,0,1,22 of 52,15 of 39,42%,38%,26 of 56,29 of 55,0 of 0,0 of 0,---,---,0,0,0,0,0:00,1:22,54 of 114,26 of 74,47%,35%,45 of 103,12 of 52,5 of 7,1 of 3,4 of 4,13 of 19,54 of 114,25 of 72,0 of 0,0 of 0,0 of 0,1 of 2,22 of 52,15 of 39,42%,38%,19 of 48,6 of 23,1 of 2,0 of 1,2 of 2,9 of 15,22 of 52,14 of 37,0 of 0,0 of 0,0 of 0,1 of 2,KO/TKO,Keith Peterson,1,"April 26, 2025"
Ikram Aliskerov,Andre Muniz,1,0,44 of 68,16 of 36,64%,44%,55 of 80,16 of 36,0 of 0,0 of 1,---,0%,0,0,0,0,0:32,0:00,1,0,44 of 68,16 of 36,64%,44%,55 of 80,16 of 36,0 of 0,0 of 1,---,0%,0,0,0,0,0:32,0:00,44 of 68,16 of 36,64%,44%,26 of 46,6 of 23,10 of 13,6 of 9,8 of 9,4 of 4,25 of 44,16 of 36,1 of 1,0 of 0,18 of 23,0 of 0,44 of 68,16 of 36,64%,44%,26 of 46,6 of 23,10 of 13,6 of 9,8 of 9,4 of 4,25 of 44,16 of 36,1 of 1,0 of 0,18 of 23,0 of 0,KO/TKO,Jason Herzog,1,"April 26, 2025"
Matt Schnell,Jimmy Flick,0,0,35 of 61,12 of 20,57%,60%,88 of 117,48 of 60,0 of 0,5 of 7,---,71%,3,1,1,1,3:53,8:28,0,0,6 of 15,8 of 11,40%,72%,20 of 30,33 of 37,0 of 0,2 of 3,---,66%,0,0,0,0,0:00,3:41,35 of 61,12 of 20,57%,60%,33 of 58,8 of 13,1 of 1,0 of 2,1 of 2,4 of 5,12 of 34,8 of 16,4 of 4,2 of 2,19 of 23,2 of 2,6 of 15,8 of 11,40%,72%,5 of 14,4 of 5,1 of 1,0 of 1,0 of 0,4 of 5,6 of 15,7 of 10,0 of 0,0 of 0,0 of 0,1 of 1,Decision - Unanimous,Dan Miragliotta,1,"April 26, 2025"
Evan Elder,Gauge Young,0,0,115 of 210,81 of 183,54%,44%,115 of 210,81 of 183,0 of 3,0 of 1,0%,0%,0,0,0,0,0:16,0:02,0,0,35 of 57,21 of 37,61%,56%,35 of 57,21 of 37,0 of 2,0 of 1,0%,0%,0,0,0,0,0:16,0:02,115 of 210,81 of 183,54%,44%,47 of 127,33 of 107,45 of 57,33 of 56,23 of 26,15 of 20,115 of 210,81 of 183,0 of 0,0 of 0,0 of 0,0 of 0,35 of 57,21 of 37,61%,56%,13 of 31,6 of 15,14 of 18,9 of 15,8 of 8,6 of 7,35 of 57,21 of 37,0 of 0,0 of 0,0 of 0,0 of 0,Decision - Unanimous,Nick Berens,1,"April 26, 2025"
Chris Gutierrez,John Castaneda,1,0,46 of 85,41 of 77,54%,53%,65 of 112,76 of 118,0 of 2,1 of 1,0%,100%,0,0,0,0,0:39,4:50,1,0,9 of 16,6 of 17,56%,35%,19 of 29,17 of 29,0 of 0,0 of 0,---,---,0,0,0,0,0:37,1:58,46 of 85,41 of 77,54%,53%,20 of 50,16 of 34,5 of 9,8 of 13,21 of 26,17 of 30,44 of 81,36 of 71,0 of 1,5 of 6,2 of 3,0 of 0,9 of 16,6 of 17,56%,35%,4 of 9,1 of 3,1 of 1,1 of 3,4 of 6,4 of 11,7 of 13,6 of 17,0 of 0,0 of 0,2 of 3,0 of 0,Decision - Split,Keith Peterson,1,"April 26, 2025"
Da'Mon Blackshear,Alatengheili,0,0,125 of 273,61 of 190,45%,32%,127 of 275,61 of 191,0 of 0,0 of 1,---,0%,0,0,0,0,0:00,0:18,0,0,37 of 78,11 of 45,47%,24%,37 of 78,11 of 45,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:00,125 of 273,61 of 190,45%,32%,75 of 200,34 of 148,37 of 50,19 of 34,13 of 23,8 of 8,123 of 270,60 of 189,2 of 3,1 of 1,0 of 0,0 of 0,37 of 78,11 of 45,47%,24%,17 of 45,7 of 38,15 of 21,1 of 4,5 of 12,3 of 3,37 of 78,11 of 45,0 of 0,0 of 0,0 of 0,0 of 0,Decision - Unanimous,Jason Herzog,1,"April 26, 2025"
Malcolm Wellmaker,Cameron Saaiman,1,0,6 of 12,9 of 18,50%,50%,6 of 12,9 of 18,0 of 0,0 of 0,---,---,0,0,0,0,0:01,0:00,1,0,6 of 12,9 of 18,50%,50%,6 of 12,9 of 18,0 of 0,0 of 0,---,---,0,0,0,0,0:01,0:00,6 of 12,9 of 18,50%,50%,1 of 6,1 of 9,4 of 4,1 of 2,1 of 2,7 of 7,6 of 11,9 of 18,0 of 0,0 of 0,0 of 1,0 of 0,6 of 12,9 of 18,50%,50%,1 of 6,1 of 9,4 of 4,1 of 2,1 of 2,7 of 7,6 of 11,9 of 18,0 of 0,0 of 0,0 of 1,0 of 0,KO/TKO,Zach Teiberis,1,"April 26, 2025"
Jaqueline Amorim,Polyana Viana,0,0,6 of 8,0 of 6,75%,0%,29 of 43,23 of 31,2 of 2,0 of 0,100%,---,1,0,0,0,6:34,0:00,0,0,5 of 6,0 of 1,83%,0%,25 of 36,21 of 24,1 of 1,0 of 0,100%,---,0,0,0,0,4:54,0:00,6 of 8,0 of 6,75%,0%,5 of 5,0 of 4,0 of 1,0 of 2,1 of 2,0 of 0,1 of 3,0 of 6,0 of 0,0 of 0,5 of 5,0 of 0,5 of 6,0 of 1,83%,0%,5 of 5,0 of 1,0 of 0,0 of 0,0 of 1,0 of 0,0 of 1,0 of 1,0 of 0,0 of 0,5 of 5,0 of 0,Submission,Dan Miragliotta,1,"April 26, 2025"
Timmy Cuamba,Roberto Romero,1,0,33 of 64,35 of 67,51%,52%,35 of 66,45 of 79,1 of 4,0 of 3,25%,0%,0,0,0,0,0:12,2:19,0,0,9 of 27,22 of 34,33%,64%,9 of 27,27 of 40,0 of 2,0 of 2,0%,0%,0,0,0,0,0:04,1:28,33 of 64,35 of 67,51%,52%,25 of 53,5 of 32,6 of 8,19 of 22,2 of 3,11 of 13,29 of 59,29 of 60,3 of 4,6 of 7,1 of 1,0 of 0,9 of 27,22 of 34,33%,64%,7 of 24,2 of 13,2 of 3,14 of 15,0 of 0,6 of 6,7 of 24,17 of 28,2 of 3,5 of 6,0 of 0,0 of 0,KO/TKO,Nick Berens,1,"April 26, 2025"
Chelsea Chandler,Joselyne Edwards,0,0,10 of 23,30 of 42,43%,71%,11 of 24,35 of 47,0 of 0,1 of 1,---,100%,0,0,0,0,0:00,0:49,0,0,10 of 23,30 of 42,43%,71%,11 of 24,35 of 47,0 of 0,1 of 1,---,100%,0,0,0,0,0:00,0:49,10 of 23,30 of 42,43%,71%,6 of 17,14 of 23,2 of 4,3 of 5,2 of 2,13 of 14,9 of 21,27 of 39,1 of 2,1 of 1,0 of 0,2 of 2,10 of 23,30 of 42,43%,71%,6 of 17,14 of 23,2 of 4,3 of 5,2 of 2,13 of 14,9 of 21,27 of 39,1 of 2,1 of 1,0 of 0,2 of 2,KO/TKO,Zach Teiberis,0,"April 26, 2025"
Alexander Volkanovski,Diego Lopes,0,1,158 of 259,63 of 194,61%,32%,165 of 266,71 of 203,1 of 11,0 of 0,9%,---,0,0,0,0,1:18,0:05,0,0,27 of 44,8 of 22,61%,36%,31 of 48,11 of 26,1 of 3,0 of 0,33%,---,0,0,0,0,0:58,0:03,158 of 259,63 of 194,61%,32%,136 of 225,49 of 171,8 of 14,7 of 13,14 of 20,7 of 10,142 of 237,59 of 185,7 of 11,3 of 8,9 of 11,1 of 1,27 of 44,8 of 22,61%,36%,21 of 34,5 of 16,2 of 4,1 of 2,4 of 6,2 of 4,14 of 27,8 of 22,4 of 6,0 of 0,9 of 11,0 of 0,Decision - Unanimous,Marc Goddard,1,"April 12, 2025"
Michael Chandler,Paddy Pimblett,0,0,11 of 28,80 of 143,39%,55%,20 of 39,121 of 197,4 of 7,1 of 2,57%,50%,0,0,0,1,2:44,4:41,0,0,5 of 11,16 of 40,45%,40%,7 of 14,25 of 50,2 of 3,0 of 0,66%,---,0,0,0,0,2:10,0:00,11 of 28,80 of 143,39%,55%,6 of 18,61 of 119,3 of 7,4 of 5,2 of 3,15 of 19,10 of 24,43 of 96,0 of 0,4 of 5,1 of 4,33 of 42,5 of 11,16 of 40,45%,40%,4 of 10,7 of 28,1 of 1,1 of 2,0 of 0,8 of 10,4 of 7,16 of 40,0 of 0,0 of 0,1 of 4,0 of 0,KO/TKO,Kerry Hatley,0,"April 12, 2025"
Yair Rodriguez,Patricio Freire,1,0,70 of 122,17 of 50,57%,34%,97 of 157,23 of 60,1 of 1,1 of 4,100%,25%,0,1,0,0,1:43,1:03,0,0,11 of 21,4 of 10,52%,40%,26 of 40,5 of 12,0 of 0,0 of 1,---,0%,0,0,0,0,0:00,0:35,70 of 122,17 of 50,57%,34%,38 of 82,8 of 38,18 of 23,2 of 4,14 of 17,7 of 8,43 of 89,17 of 50,2 of 2,0 of 0,25 of 31,0 of 0,11 of 21,4 of 10,52%,40%,3 of 10,0 of 5,4 of 5,0 of 1,4 of 6,4 of 4,10 of 20,4 of 10,1 of 1,0 of 0,0 of 0,0 of 0,Decision - Unanimous,Andrew Glenn,1,"April 12, 2025"
Bryce Mitchell,Jean Silva,0,1,36 of 64,27 of 63,56%,42%,37 of 66,29 of 65,1 of 14,0 of 0,7%,---,0,3,0,0,1:43,0:19,0,0,22 of 34,9 of 29,64%,31%,23 of 35,10 of 30,1 of 3,0 of 0,33%,---,0,2,0,0,0:53,0:06,36 of 64,27 of 63,56%,42%,7 of 25,11 of 44,8 of 18,13 of 15,21 of 21,3 of 4,35 of 61,23 of 56,1 of 3,3 of 5,0 of 0,1 of 2,22 of 34,9 of 29,64%,31%,5 of 11,2 of 20,3 of 9,6 of 7,14 of 14,1 of 2,22 of 33,8 of 28,0 of 1,1 of 1,0 of 0,0 of 0,Submission,Mike Beltran,0,"April 12, 2025"
Nikita Krylov,Dominick Reyes,0,1,4 of 22,8 of 17,18%,47%,4 of 22,8 of 17,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:02,0,1,4 of 22,8 of 17,18%,47%,4 of 22,8 of 17,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:02,4 of 22,8 of 17,18%,47%,3 of 16,5 of 14,1 of 6,1 of 1,0 of 0,2 of 2,4 of 22,6 of 15,0 of 0,0 of 0,0 of 0,2 of 2,4 of 22,8 of 17,18%,47%,3 of 16,5 of 14,1 of 6,1 of 1,0 of 0,2 of 2,4 of 22,6 of 15,0 of 0,0 of 0,0 of 0,2 of 2,KO/TKO,Marc Goddard,0,"April 12, 2025"
Dan Ige,Sean Woodson,0,0,44 of 107,51 of 115,41%,44%,53 of 116,57 of 121,0 of 2,0 of 1,0%,0%,0,0,0,0,0:33,0:10,0,0,9 of 37,26 of 51,24%,50%,9 of 37,26 of 51,0 of 0,0 of 0,---,---,0,0,0,0,0:01,0:00,44 of 107,51 of 115,41%,44%,28 of 78,36 of 98,11 of 20,7 of 9,5 of 9,8 of 8,41 of 104,51 of 115,3 of 3,0 of 0,0 of 0,0 of 0,9 of 37,26 of 51,24%,50%,4 of 25,15 of 39,1 of 6,6 of 7,4 of 6,5 of 5,9 of 37,26 of 51,0 of 0,0 of 0,0 of 0,0 of 0,KO/TKO,Andrew Glenn,1,"April 12, 2025"
Yan Xiaonan,Virna Jandiroba,0,0,17 of 44,11 of 20,38%,55%,64 of 103,96 of 131,0 of 0,3 of 11,---,27%,0,3,1,1,0:27,9:59,0,0,6 of 17,4 of 9,35%,44%,31 of 50,18 of 31,0 of 0,1 of 5,---,20%,0,0,0,0,0:00,3:03,17 of 44,11 of 20,38%,55%,13 of 34,11 of 20,3 of 7,0 of 0,1 of 3,0 of 0,12 of 38,8 of 16,0 of 0,0 of 1,5 of 6,3 of 3,6 of 17,4 of 9,35%,44%,4 of 11,4 of 9,2 of 4,0 of 0,0 of 2,0 of 0,5 of 16,3 of 7,0 of 0,0 of 1,1 of 1,1 of 1,Decision - Unanimous,Mike Beltran,0,"April 12, 2025"
Jim Miller,Chase Hooper,0,0,13 of 35,21 of 44,37%,47%,22 of 45,59 of 94,1 of 1,8 of 14,100%,57%,2,1,0,0,1:39,10:08,0,0,10 of 16,10 of 21,62%,47%,14 of 21,24 of 41,1 of 1,1 of 3,100%,33%,2,0,0,0,1:39,1:57,13 of 35,21 of 44,37%,47%,11 of 30,13 of 34,1 of 2,7 of 9,1 of 3,1 of 1,7 of 28,18 of 41,1 of 2,1 of 1,5 of 5,2 of 2,10 of 16,10 of 21,62%,47%,10 of 15,4 of 13,0 of 0,5 of 7,0 of 1,1 of 1,4 of 10,9 of 20,1 of 1,1 of 1,5 of 5,0 of 0,Decision - Unanimous,Kerry Hatley,0,"April 12, 2025"
Darren Elkins,Julian Erosa,0,0,13 of 31,54 of 73,41%,73%,18 of 45,69 of 92,1 of 7,0 of 0,14%,---,0,0,0,0,0:48,0:48,0,0,13 of 31,54 of 73,41%,73%,18 of 45,69 of 92,1 of 7,0 of 0,14%,---,0,0,0,0,0:48,0:48,13 of 31,54 of 73,41%,73%,11 of 28,52 of 71,1 of 2,0 of 0,1 of 1,2 of 2,12 of 29,22 of 39,0 of 0,11 of 12,1 of 2,21 of 22,13 of 31,54 of 73,41%,73%,11 of 28,52 of 71,1 of 2,0 of 0,1 of 1,2 of 2,12 of 29,22 of 39,0 of 0,11 of 12,1 of 2,21 of 22,KO/TKO,Mike Beltran,0,"April 12, 2025"
